전통주명,가격,용량,주종,도수,단맛,신맛,바디감,향,청량감,균형감,목넘김,맛,잘 어울리는 음식,주원료,제조사
가야 프리미엄 막걸리,"32,000",750ml,과실주,6,3,3,2,,4,,,,,김해 쌀(100%),가야양조장
감그린 레귤러,"18,000",750ml,과실주,12,3,3,2,,3,,,,소고기류,감(국내산),
감그린 스페셜,"25,000",750ml,과실주,12,3,3,3,,3,,,,소고기류,감(국내산),청도감와인
감그린 아이스와인,"89,000",375ml,과실주,10,4,2,4,,2,,,,"모짜렐라 치즈, 카망베르, 스모키 치즈",감(국내산),청도감와인
감악산 머루주,"28,000",360ml,과실주,12,4,4,3,,3,,,,"메기, 참게, 흑염소, 오리로스구이","국내산 산머루원액 78.5%, 주정",
고도리 레드와인 스위트,"22,000",750ml,과실주,12,3,3,3,,2,,,,"육회, 수육, 불고기",MBA 머루포도(경북 영천),
고도리 복숭아와인,"32,000",750ml,과실주,6.5,4,3,2,,3,,,,,복숭아(영천),고도리 와이너리
고도리 화이트와인 드라이,"22,000",750ml,과실주,10.5,2,3,2,,3,,,,"생선회, 기름기가 적은 음식",거봉포도(영천),고도리 와이너리
고도리 화이트와인 스위트,"22,000",750ml,과실주,10.5,4,3,2,,3,,,,,거봉포도(영천),고도리 와이너리
고창선운산 땡큐복분자주,"50,000",300ml,과실주,13,3,1,2,,3,,,,장어구이,"복분자과실, 주정, 효모, 구연산, 정제수",
고창선운산 땡큐블루베리주,"60,000",300ml,과실주,13,2,2,2,,2,,,,스테이크,"블루베리과실, 주정, 효모, 구연산, 정제수",고창선운산
고창선운산 복분자주 특1호,"27,000",1800ml,과실주,15,3,1,2,,3,,,,장어구이,"복분자과실, 주정, 효모, 구연산, 정제수",고창선운산
공주애 오디와인,"6,000",375ml,과실주,15,3,2,1,,3,,,,장어구이,"국내산 오디, 정제수, 주정, 과당, 효모",사곡양조원
그랑꼬또 레드와인,"35,000",750ml,과실주,12,3,3,2,,3,,,,"생선, 나물",포도(캠벨얼리),
그랑꼬또 로제와인,"21,000",750ml,과실주,12,2,3,3,,1,,,,조개요리,포도,그린영농조합
그랑꼬또 청수,"60,000",750ml,과실주,12,2,1,2,,3,,,,파스타,포도,그린영농조합
그랑꼬또 M56,"21,000",750ml,과실주,12,2,3,3,,1,,,,조개요리,포도(캠벨얼리),
그랑티그르 CE2002,"40,000",750ml,과실주,12,3,2,3,,2,,,,"산채 한정식, 나물요리",캠벨얼리 포도,월류원
그랑티그르 M1988,"40,000",750ml,과실주,12,3,3,3,,2,,,,"산채 한정식, 나물 요리","캠벨얼리 포도, 오미자",월류원
그랑티그르 S1974,"40,000",750ml,과실주,12,1,3,2,,2,,,,스테이크,포도(캠벨얼리 100%),
남산애 레드와인,"45,000",750ml,과실주,14,3,3,2,,3,,,,,"포도(캠벨얼리, MBA, 산머루)",
남산애 포트와인,"55,000",750ml,과실주,18.5,3,3,3,,2,,,,,"포도(캠벨얼리, MBA, 산머루)",예인화원
내장산 복분자주 지통1호,"18,000",700ml,과실주,16,1,3,2,,,,3,,소고기,"복분자, 주정, 정제수, 설탕 등",내장산 복분자 영농조합
다래와인 3004,"10,000",375ml,과실주,8,2,2,2,,1,,,,소고기 구이,참다래,오름주가
다래와인 7004S,"18,000",750ml,과실주,8,2,2,2,,1,,,,식사,참다래,오름주가
다랭이팜 생막걸리,"4,000",750ml,과실주,6,1,5,2,,2,,,,골뱅이 무침,"지하정제수, 9분도쌀, 찹쌀, 혼합제제 누룩,",농업회사법인 주식회사 다랭이팜
도로시 머루주,"25,000",500ml,과실주,12,4,4,3,,3,,,,"삼계탕, 오리백숙","국내산 산머루원액 78.5%, 주정",산머루농원영농조합법인
두레앙 와인,"15,000",750ml,과실주,12,2,2,2,,1,,,,"육류, 치즈",거봉포도원액,
레돔 내추럴 스파클링 로제와인,"38,000",750ml,과실주,7.5,3,3,2,,4,,,,,포도,작은알자스
레돔 시드르,"32,000",750ml,과실주,6,3,3,2,,4,,,,,사과(100%),
맑은내일 Winery 단감명작,"20,000",750ml,과실주,7,3,2,2,,3,,,,"샐러드, 해산물, 케이크, 마카롱","단감(국내산_창녕), 정제수, 설탕, 효소제, 무수구연산, 효모, 무수아황산(산아방지제), 소브산(보존료)",우포의 아침 주식회사
머루드 서 드라이,"35,000",750ml,과실주,13.5,2,4,4,,3,,,,"양꼬치, 항정살, 스테이크",국내산 산머루,산머루농원
머루이야기,"6,000",350ml,과실주,12,3,1,2,,1,,,,수육,국내산 머루(전북 무주),산들벗(주0
명작 복분자,"78,000",375ml,과실주,13,3,1,1,,1,,,,파이,"복분자, 효모, 주정, 정제수, 과당, 구연산",
무주구천동머루와인,"25,000",750ml,과실주,12,2,2,3,,1,,,,삼겹살,머루,덕유양조
미소 아이스,"40,000",375ml,과실주,12,4,1,3,,2,,,,,"포도, 산화방지제, 효모",도란원
백이주,"30,000",800ml,과실주,35,2,2,3,,1,,,,"김치찜, 탕, 찌개류","쌀(국산), 홍마늘액(국산), 감초(국산), 개량누룩(국산), 효모, 정제효소제, 정제수, 밀함유",농업회사법인(주)세찬
뱅꼬레 레드와인,"25,000",375ml,과실주,12,3,4,2,,2,,,,"불고기, 수육, 어복쟁반",양조용포도(영천),한국와인
뱅꼬레 로제와인,"23,000",375ml,과실주,11.5,4,3,2,,3,,,,한정식,양조용포도(영천),한국와인
뱅꼬레 화이트와인,"23,000",375ml,과실주,11,4,3,2,,3,,,,"샐러드, 카르파쵸, 가벼운 튀김류",양조용포도(경북 영천),한국와인
베베마루 캠벨로제 스위트,"20,000",375ml,과실주,10,2,2,3,,1,,,,와인에 재워 놓은 붉은 고기,포도(캠벨얼리),월류원
별바랑,"27,000",375ml,과실주,17.5,4,3,2,,3,,,,모짜렐라치즈,"국내산 찹쌀, 국내산 멥쌀, 누룩, 정제수",금계당
복분자음,"6,000",375ml,과실주,12,2,2,3,,1,,,,삼계탕,"복분자(국내산), 정제수",배상면주가
블루베리 이야기,"6,000",375ml,과실주,12,3,1,3,,1,,,,숯불구이,"국내산 산머루 50%, 블루베리 50%",농업회사법인산들벗(주)
산머루 크라테 드라이,"48,000",750ml,과실주,11.5,2,2,3,,3,,,,"스테이크, 고기요리, 꼬치구이, 찜요리",산머루,수도산와이너리
산머루 크라테 로제,"18,000",375ml,과실주,11.5,4,1,3,,3,,,,불고기,산머루,수도산와이너리
산머루 크라테 스위트,"48,000",750ml,과실주,11.5,4,2,1,,3,,,,양념된 두부조림,산머리(국내산),수도산와이너리
샤토미소 레드 스위트,"20,000",750ml,과실주,12,,,,,,,,,"탕평채, 채소 샐러드","포도, 산화방지제, 효모, 설탕 등",도란원
샤토미소 로제 스위트,"20,000",375ml,과실주,12,3,1,2,,,,2,,초콜릿,"포도, 산화방지제, 효모, 설탕",
샹스프랑보아즈,"150,000",500ml,과실주,13,1,4,4,,2,,,,"양념 소갈비, 육전","복분자(고창산), 구연산, 과당, 구연산, 아스파탐, 주정, 정제수",(주)선운산복분자주 흥진
선운산 복분자와인,"6,000",300ml,과실주,13,4,4,2,,3,,,,장어구이,"복분자(고창산), 구연산, 과당, 구연산, 아스파탐, 주정, 정제수",
선운산 복분자주,"25,000",375ml,과실주,16,4,4,2,,3,,,,"장어구이, 디저트, 치즈","복분자(고창산), 과당, 구연산, 아스파탐, 무수아황산",
선운산 복분자주 프리미엄,"40,000",700ml,과실주,19,4,3,2,,3,,,,한우 수육,"복분자(고창산), 과당, 구연산, 아스파탐, 무수아황산",(주)선운산복분자주 흥진
스타베리오디,"28,000",500ml,과실주,12,3,4,3,,3,,,,나물 요리,양조용포도(영천),한국와인
시나브로 드 글로리아,"25,000",750ml,과실주,12,3,3,2,,2,,,,"불고기, 육전, 가벼운 고기류",포도(캠벨얼리),불휘농장
시나브로 레드 드라이,"25,000",750ml,과실주,12,2,3,3,,3,,,,"아귀찜, 꽃게무침",캠벨얼리,불휘농장
시나브로 레드 스위트,"25,000",750ml,과실주,12,3,3,2,,3,,,,,포도(캠벨얼리),불휘농장
시나브로 로제와인,"30,000",500ml,과실주,10,,3,3,,3,,,,"샐러드, 새우튀김",포도(캠벨얼리),불휘농장
시나브로 에뚜왈 로제 스파클링,"30,000",750ml,과실주,5,2,1,4,,1,,,,내온 수육,포도(캠벨얼리),불휘농장
시나브로 에뚜왈 스파클링와인,"30,000",750ml,과실주,5,3,3,2,,4,,,,육류,포도(청수),
애피소드 상그리아,"21,000",500ml,과실주,3.5,4,4,2,,4,,,,쿠키,"포도와인, 정제주정, 정제수, 포도농축액, 고과당",㈜한국애플리즈
애피소드 애플,"21,000",500ml,과실주,3.5,4,4,2,,4,,,,"새우, 호박, 감자, 고구마, 오징어",사과,㈜한국애플리즈
여포의 꿈 레드,"20,000",750ml,과실주,12,4,1,3,,,,2,,케익,국내산 포도,여포와인농장
여포의 꿈(화이트),"20,000",375ml,과실주,12,1,2,2,,,,2,,조기,국내산 포도,
예밀와인 레드 드라이,"20,000",750ml,과실주,13,1,1,3,,2,,,,고기구이,포도(캠벨얼리),
예밀와인 레드 스위트,"20,000",750ml,과실주,12,4,1,3,,2,,,,달콤한 디저트,포도(캠벨얼리),예밀2리영농조합법인
예밀와인 로제,"20,000",750ml,과실주,12,4,1,3,,2,,,,케익,포도(캠벨얼리),
예주,"29,000",750ml,과실주,15,1,3,3,,1,,,,소고기 소금구이,"복분자, 주정, 효모, 정제수",용두산조은술
오디랑,"4,000",330ml,과실주,13,3,1,1,,,,3,,양념 고기,"오디(국산) 18.2%, 정제수, 과당, 주정, 구연산, 효모",
오미로제 스파클링와인,"99,000",750ml,과실주,12,2,5,4,,,,,,"편육냉채,잣즙냉채",국내산 오미자,
오미로제 연,"50,000",750ml,과실주,8.5,2,5,2,,,,,,"해산물, 피자, 파스타",오미자,오미나라
자두와인,"22,000",750ml,과실주,12,,,,,,,,,"감자부각, 사과숙",국내산 자두,자두사랑
