전통주명,가격,용량,주종,도수,단맛,신맛,바디감,청량감,잘 어울리는 음식,주원료,제조사,유형
구름을 벗삼아,"1,500",750ml,탁주,6,3,3,3,3,가리비,"정제수, 찹쌀·백미(국내산햅쌀 100%), 입국",,4
해창 생막걸리 6도,"3,000",900ml,탁주,6,1,1,2,3,간재미 찜,"햅쌀, 찹쌀, 물, 누룩",해창주조장,2
도문대작 생막걸리,"2,000",750ml,증류주,10,1,3,2,3,갈비찜,"강릉 쌀, 누룩, 갯방풍나물, 정제수",방풍도가,3
이동 생 쌀 막걸리,"1,300",750ml,탁주,6,1,3,2,3,갈비찜,"정제수, 백미, 팽화미, 입국, 아스파탐 등",이동주조,3
동정춘,"18,000",500ml,탁주,8,4,3,3,2,"갈비찜, 단맛이 약간 있는 음식","쌀, 누룩, 정제수",농업회사법인㈜산수,4
이화백주,"12,000",940ml,탁주,6,3,3,3,4,"갈비찜, 해물파전, 보쌈, 족발","정제수, 쌀(국내산), 누룩, 설탕, 물엿, 밀, 아스파탐",이화백주,4
지란지교 무화과 탁주,"30,000",500ml,탁주,12,4,4,4,1,"갈치조림, 고등어무조림, 무화과타르트","찹쌀, 멥쌀(국내산), 전통누룩(국내산 밀), 정제수, 무화과청, 레드비트분말, 밀함유",,1
감자술 13%,"14,000",700ml,약주,13,3,2,2,3,감자전,"백미(국내산), 감자(국내산), 누룩, 효모, 정제수",,2
지리산 강쇠,"2,500",375ml,약주,13,2,2,4,1,감자탕,"정제수, 쌀, 누룩, 오가피, 산수유, 오미자, 정백당 ,구연산, 정제효소, 야관문",농업회사법인(유)술소리,1
김포특주,"3,000",375ml,약주,15,4,4,2,2,"감자탕, 김치찌개, 매운 제육볶음","국내산 쌀, 효모, 정제효소,정제수, 프락토올리고당",김포금쌀탁주영농조합법인,4
허니비,"35,000",500ml,기타주류,8,3,1,2,1,"개성약과, 다식",벌꿀(국내산),아이비영농조합법인,2
지장수 호박막걸리,"5,000",550ml,탁주,6,2,1,2,1,"겉절이 김치, 수육","국내산 쌀, 호박",낙천,2
오매백주,"5,000",500ml,탁주,12,5,1,1,1,견과류,"쌀(국내산), 국, 효모, 정제수",,2
예밀와인 레드 드라이,"20,000",750ml,과실주,13,1,1,3,2,고기구이,포도(캠벨얼리),,2
