name,address,time,phone,menu
막걸리전당,서울 관악구 봉천로 461-1 1층,매일 16:00 ~ 01:00,0507-1407-7103,"전당모둠전, 옛날모둠전, 국산전두부와볶음김치, 한통다골뱅이무침, 한돈육전, 홍어를무침, 쫄깃한무뼈닭발볶음, 오도독오돌뼈, 고추장불고기, 전당쌀떡볶이"
한식술집 돌,서울 성북구 보문로34길 87 1층,매일 17:00-24:00,0507-1336-5824,"노돈보쌈, 뭉티기, 전복내장 파스타, 메로조림, 낙지젓갈 볶음밥, 곤드레 아란치니. 무우 튀김"
박가네 빈대떡,서울 종로구 종로32길 7,매일: 08:00 - 22:00,02-2264-0847,"박가네 삼합, 맷돌 빈대떡,고기 빈대떡, 해물 빈대떡, 마약김밥(2인), 육회탕탕이, 육회사시미, 산낙지탕탕이, 육회, 간, 천엽, 육회냉면, 모둠전 특, 모둠전 대, 해물파전, 고기완자 2장"
종부네,서울 동작구 동작대로27가길 37 2층,화~목: 17:00-01:00 금17:00-01:00 토: 14:00-01:00 일요일16:00-23:00 (월요일 휴무),010-4305-1805,"육회, 통골뱅이파무침, 오뱅새세트, 마약옥수수전, 모둠전, 치즈감자채전"
화실,서울 노원구 한글비석로20길 62 송림빌딩 101호,"수,목 17:00-01:00  금,토 17:00-02:00 (일,월 정기휴무)",0507-1397-2490,"불고기 트러플 크림 파케리, 청어알 들기름 냉파스타, 명란감자구이, 청어알 두부쌈, 크림치즈 곶감과 크래커, 청어알 감태밥, 인절미 젤라또"
미주류,서울 광진구 면목로31 (1층),"월, 화, 수 16:00-24:00 금, 토 16:00-새벽 01:00 (매주 일요일 정기휴무)",0507-1301-4864,"한돈 보쌈, 한우 육회, 치즈 감자전, 등심튀김, 메밀전병, 해물파전, 감태밥"
청주한씨,서울특별시 성동구 연무장길 41-22 지하 1층,평일 17:00-22:00 토요일 17:00-21:30(매주 일요일 휴무),070-4086-0933,"청주한씨 술상, 열기구이, 삼치구이, 브리치즈구이, 국물떡볶이, 마른안주"
우리술집다람쥐,서울 종로구 서순라길 101(1층),평일 17:00-23:30 주말 16:00-23:30,070-4258-8880,"고기완자전, 제주 피순대구이, 반건조 생선구이, 황태 어묵탕, 다람쥐 순두부 찌개, 코코넛 닭강정, 토하젓 파스타, 다람쥐 삼합, 도가니찜, 멜팅 브리, 후식 아이스크림"
오보강,서울특별시 용산구 우사단로10길 135 1층 오보강,평일 18:00~03:00시 (매주 월화 휴무),0507-1308-7806,"바지락술찜 파스타, 고추장찌개, 트러플 전복버터구이, 삼겹살 쌈장구이, 먹태구이, 바지락탕"
서우막걸리,서울 마포구 동교로46길 25 202호,"평일17:00 - 01:00시 (금요일,토요일 17:00~03:00 일요일 휴무)",02-417-9233,"두툼 돼지육전,치즈 불닭볶음,마약 옥수수 튀김,순두부 쫄면찌개"
